Country Name,Country Code,Year,Female Labor Force Participation Rate,Female Unemployment Rate,GDP Growth Rate,GDP per Capita,Girls’ Tertiary Enrollment,Total Fertility Rate,Employed FLFPR,GDP per Capita (sqrt)
Albania,ALB,1990,53.47,10.272,-9.575640169934076,617.2304355155054,8.34232044219971,3.014,47.97756159999999,24.84412275600621
Albania,ALB,1991,59.052,10.272,-28.00214165380744,336.5869945046292,8.97181034088135,2.956,52.98617856,18.34630738063192
Albania,ALB,1992,60.357,27.158,-7.187110909642342,200.852219772323,9.5284595489502,2.885,43.96524594,14.1722341136577
Albania,ALB,1993,58.56,23.046,9.559411671112429,367.2792250775811,11.1502599716187,2.811,45.0642624,19.16453039021779
Albania,ALB,1994,57.037,18.934,8.302866596990825,586.4161351308651,11.0404996871948,2.798,46.23761441999999,24.21603054034383
Albania,ALB,1995,54.819,14.115,13.32233332688135,911.3204654453265,10.4641199111938,2.762,47.08129815,30.18808482572762
Albania,ALB,1996,53.351,12.93,7.336328947718911,1020.976180501881,11.5983200073242,2.666,46.4527157,31.952717889123
Albania,ALB,1997,55.15,15.752,-11.71157328122779,728.5455237296745,14.0885601043701,2.535,46.462772,26.9915824606427
Albania,ALB,1998,53.714,19.78,8.310025203830904,831.1753440772948,14.933349609375,2.425,43.0893708,28.83011175970871
Albania,ALB,1999,51.824,20.4,12.25072819684752,1056.344811530331,16.9277000427246,2.313,41.251904,32.5014586061969
Albania,ALB,2000,50.831,18.546,7.46285871776054,1160.420470540384,17.5028095245361,2.217,41.40388274000001,34.06494489266619
Albania,ALB,2001,49.68,18.939,8.863730660487604,1326.41652388077,17.9192295074463,2.141,40.2711048,36.42000170072443
Albania,ALB,2002,49.088,18.269,4.628395873945522,1479.838845720061,19.5883502960205,2.002,40.12011328,38.46867356330423
Albania,ALB,2003,48.461,17.388,5.333264260099455,1908.699006876076,19.7989501953125,2.006,40.03460132,43.68865993454223
Albania,ALB,2004,47.845,16.694,5.266261738607852,2446.909499477982,23.2279891967773,1.889,39.8577557,49.46624606211777
Albania,ALB,2005,47.242,16.411,5.130821930561893,2741.721365495784,26.6828994750977,1.787,39.48911538,52.36144923028567
Albania,ALB,2006,46.652,16.074,6.018981240386395,3057.772570381126,30.5197200775146,1.686,39.15315752,55.29712985663113
Albania,ALB,2007,46.076,16.39,6.50009261158209,3743.055298961871,35.5193481445312,1.633,38.5241436,61.18051404623756
Albania,ALB,2008,45.514,13.735,6.907062307137068,4498.504867636007,36.394588470459,1.616,39.2626521,67.07089434051113
Albania,ALB,2009,45.955,15.688,2.690751523621458,4213.650075746932,38.1325798034668,1.638,38.7455796,64.91263417661412
Albania,ALB,2010,46.835,15.85,2.973154426812471,4149.14469936847,49.6336517333984,1.653,39.4116525,64.41385487120353
Albania,ALB,2011,52.561,13.751,2.463516839157137,4465.709143288648,56.2686387324156,1.677,45.33333689,66.82596159643832
Albania,ALB,2012,48.936,11.508,0.9841298802041081,4280.933163388727,66.9087611209798,1.719,43.30444512,65.42884045578622
Albania,ALB,2013,43.783,13.397,1.707228317540597,4542.929035567388,73.0355050914662,1.741,37.91739149,67.40125396138701
Albania,ALB,2014,43.958,15.515,2.240226953826422,4793.597511315253,75.6627224362502,1.721,37.1379163,69.23581090241706
Albania,ALB,2015,47.117,17.122,2.2277040745779,4199.539129253976,71.7403206883066,1.631,39.04962725999999,64.80385119153009
Albania,ALB,2016,49.888,14.49,3.908935513622453,4457.634122074947,69.4634217500182,1.555,42.65922879999999,66.76551596501706
Albania,ALB,2017,49.736,12.524,3.283175933300726,5006.360129519591,69.6489676008613,1.486,43.50706336,70.75563673319314
Albania,ALB,2018,51.406,11.888,3.671419280989085,5897.654525887742,67.0805071747503,1.415,45.29485472,76.79618822498772
Albania,ALB,2019,52.931,11.318,2.062577901761216,6069.439031310275,73.0472843844399,1.395,46.94026941999999,77.90660454229972
Albania,ALB,2020,52.252,11.85,-3.313756368889159,6027.913507163485,74.0293151569234,1.371,46.060138,77.63963876244843
Albania,ALB,2021,52.523,11.678,8.969576190740952,7242.455131466127,72.8731019839685,1.365,46.38936406000001,85.10261530332735
Albania,ALB,2022,56.407,11.234,4.826800623435901,7756.961887442532,74.8408843267243,1.355,50.07023762,88.07361629592901
Albania,ALB,2023,57.963,10.957,4.01541716935742,9730.869219068934,77.0315270509882,1.348,51.61199409,98.6451682499905
Albania,ALB,2024,58.154,10.977,4.045928450953483,11377.77574310988,95.3502197265625,1.341,51.77043542,106.6666571291605
Armenia,ARM,1990,57.601,2.351,-11.69999848202703,635.3553275025167,36.458179473877,2.708,56.24680049,25.20625572159651
Armenia,ARM,1991,57.536,2.351,-11.69999848202703,572.7402609009769,36.458179473877,2.643,56.18332864,23.93199241394199
Armenia,ARM,1992,57.275,2.384,-41.8000027457562,356.3507800069331,36.458179473877,2.499,55.909564,18.8772556269955
Armenia,ARM,1993,56.808,7.37,-8.799998793293497,347.8706447208779,36.458179473877,2.286,52.6212504,18.6512906985248
Armenia,ARM,1994,56.26,8.52,5.40000277917656,390.8799642976554,36.458179473877,2.084,51.466648,19.77068446710066
Armenia,ARM,1995,55.715,10.112,6.89999841973659,443.9248608579757,36.458179473877,2.067,50.0810992,21.06952445732878
Armenia,ARM,1996,55.239,14.693,5.865400749435651,487.068624404558,36.458179473877,2.06,47.12273373,22.06963127024459
Armenia,ARM,1997,54.822,16.955,3.321079700469525,505.0358870579657,36.458179473877,1.9,45.52692990000001,22.47300351661891
Armenia,ARM,1998,54.56,13.548,7.299999987709981,590.2399473334593,36.458179473877,1.81,47.1682112,24.29485433859317
Armenia,ARM,1999,54.477,15.12,3.300000000581662,582.6698861508952,36.458179473877,1.534,46.2400776,24.13855600799052
Armenia,ARM,2000,54.459,14.499,5.900000003120923,593.4505817422821,36.458179473877,1.3,46.56298959000001,24.36084115424347
Armenia,ARM,2001,54.317,13.897,9.599999999275965,659.5889885356293,35.4469299316406,1.2,46.76856651,25.68246461178579
Armenia,ARM,2002,54.029,13.274,13.19999999793558,742.6511183198187,38.3072319030762,1.2,46.85719054,27.25162597570682
Armenia,ARM,2003,53.753,12.664,14.00000000155015,882.0301676954736,38.8413581848145,1.3,46.94572008,29.69899270506449
Armenia,ARM,2004,53.518,12.087,10.49999999882019,1130.087914441581,41.1221504211426,1.4,47.04927934,33.61678025096366
Armenia,ARM,2005,53.338,11.511,13.89999999911326,1557.484589086547,43.0884094238281,1.3,47.19826282,39.46497927386441
Armenia,ARM,2006,53.243,10.942,13.19999999946614,2041.652670689969,46.5598487854004,1.3,47.41715094000001,45.18465083067445
Armenia,ARM,2007,53.273,10.357,13.7000000015467,2962.70234594569,49.5892791748047,1.4,47.75551539000001,54.43071142237339
Armenia,ARM,2008,52.96,19.291,6.900000000429586,3777.668593137672,51.9514617919922,1.4,42.7434864,61.46274150359446
Armenia,ARM,2009,54.373,20.491,-14.10000000069978,2820.592655334702,53.7788314819336,1.5,43.23142857,53.10925206905763
Armenia,ARM,2010,54.4,21.593,2.200000000215098,3041.344507233394,54.9448066404822,1.5,42.653408,55.14838626137119
Armenia,ARM,2011,54.222,20.232,4.699999998674116,3349.553097719061,54.928687049735,1.5,43.25180496,57.87532373748817
Armenia,ARM,2012,53.928,18.584,7.200000000964863,3511.563996874258,47.6724416529669,1.6,43.90602048,59.25845084774203
Armenia,ARM,2013,53.878,18.733,3.3,3680.166921588859,47.2975713824265,1.6,43.78503426,60.66437934726489
Armenia,ARM,2014,53.835,19.397,3.60000000058993,3852.118006103844,50.7360867668963,1.7,43.39262505,62.06543326283838
Armenia,ARM,2015,53.826,19.216,3.199999998966248,3512.39350276709,53.1382998072096,1.6,43.48279584,59.26544948591118
Armenia,ARM,2016,53.881,17.49,0.1999999998259909,3524.424768747072,60.9481935381187,1.6,44.4572131,59.3668659164948
Armenia,ARM,2017,53.766,17.481,7.500000001641439,3869.053738677518,62.0346194758727,1.6,44.36716553999999,62.20171813284194
Armenia,ARM,2018,53.631,20.283,5.199999999653244,4196.005623017693,65.0200757141218,1.6,42.75302427,64.7765823659885
Armenia,ARM,2019,50.799,19.245,7.599999998539175,4597.228873995479,59.9717740488692,1.6,41.02273245,67.802867741678
Armenia,ARM,2020,54.317,17.193,-7.199999999206312,4268.680933045835,59.5712079237049,1.7,44.97827819,65.335143170011
Armenia,ARM,2021,55.118,15.227,5.800000000656453,4685.179971285085,63.5877617542473,1.7,46.72518214,68.44837449702575
Armenia,ARM,2022,50.24,13.784,12.59999999977663,6571.974455450988,64.0635593742681,1.7,43.3149184,81.06771524750768
Armenia,ARM,2023,51.517,13.155,8.299999999595386,8159.087209679959,63.8260087137715,1.9,44.73993865,90.32766580444752
Armenia,ARM,2024,51.586,13.154,5.900000000462285,8556.214069567193,61.2979414360648,1.7,44.80037756,92.4998057812404
Algeria,DZA,1990,11.705,16.577,0.8000005801749808,2445.183327402582,19.9779891967773,4.509,9.764662150000001,49.4487950045558
Algeria,DZA,1991,11.674,16.577,-1.2000005864423,1759.112016482291,19.9779891967773,4.366,9.73880102,41.94176935326276
Algeria,DZA,1992,11.663,20.615,1.800002302535091,1802.693008012888,19.9779891967773,4.274,9.25867255,42.45813241315364
Algeria,DZA,1993,11.574,23.153,-2.100000756972591,1831.048009764494,19.9779891967773,4.076,8.89427178,42.79074677736408
Algeria,DZA,1994,11.539,25.527,-0.8999965529708334,1525.540617602877,19.9779891967773,3.914,8.59343947,39.0581696652938
