Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Indicator Label
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,4465.709143288648,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,4280.933163388727,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,4542.929035567388,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,4793.597511315253,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,4199.539129253976,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,4457.634122074947,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,5006.360129519591,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,5897.654525887742,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,6069.439031310275,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,6027.913507163485,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,7242.455131466127,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,7756.961887442532,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,9730.869219068934,GDP per Capita
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2024,11377.77574310988,GDP per Capita
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1990,8.34232044219971,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1991,8.97181034088135,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1992,9.5284595489502,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1993,11.1502599716187,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1994,11.0404996871948,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1995,10.4641199111938,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1996,11.5983200073242,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1997,14.0885601043701,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1998,14.933349609375,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,1999,16.9277000427246,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2000,17.5028095245361,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2001,17.9192295074463,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2002,19.5883502960205,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2003,19.7989501953125,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2004,23.2279891967773,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2005,26.6828994750977,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2006,30.5197200775146,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2007,35.5193481445312,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2008,36.394588470459,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2009,38.1325798034668,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2010,49.6336517333984,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2011,56.2686387324156,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2012,66.9087611209798,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2013,73.0355050914662,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2014,75.6627224362502,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2015,71.7403206883066,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2016,69.4634217500182,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2017,69.6489676008613,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2018,67.0805071747503,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2019,73.0472843844399,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2020,74.0293151569234,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2021,72.8731019839685,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2022,74.8408843267243,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2023,77.0315270509882,Girls’ Tertiary Enrollment
Albania,ALB,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,2024,95.3502197265625,Girls’ Tertiary Enrollment
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1990,53.47,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1991,59.052,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1992,60.357,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1993,58.56,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1994,57.037,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1995,54.819,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1996,53.351,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1997,55.15,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1998,53.714,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,1999,51.824,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2000,50.831,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2001,49.68,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2002,49.088,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2003,48.461,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2004,47.845,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2005,47.242,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2006,46.652,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2007,46.076,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2008,45.514,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2009,45.955,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2010,46.835,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2011,52.561,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2012,48.936,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2013,43.783,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2014,43.958,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2015,47.117,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2016,49.888,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2017,49.736,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2018,51.406,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2019,52.931,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2020,52.252,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2021,52.523,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2022,56.407,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2023,57.963,Female Labor Force Participation Rate
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,2024,58.154,Female Labor Force Participation Rate
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1990,10.272,Female Unemployment Rate
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1991,10.272,Female Unemployment Rate
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1992,27.158,Female Unemployment Rate
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1993,23.046,Female Unemployment Rate
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1994,18.934,Female Unemployment Rate
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1995,14.115,Female Unemployment Rate
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1996,12.93,Female Unemployment Rate
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1997,15.752,Female Unemployment Rate
